BATCH no.,PRODUCTION DATE,BATCH OUT OF STORAGE,BATCH WEIGHT LEAVING STORAGE (KG)
1781,10/9/2023,10/10/2023,267.400
1782,10/9/2023,10/10/2023,267.200
1788,10/9/2023,10/10/2023,265.500
1790,10/9/2023,10/10/2023,270.600
1791,10/9/2023,10/10/2023,268.300
1795,10/9/2023,10/10/2023,281.000
1797,10/9/2023,10/10/2023,269.700
1802,10/9/2023,10/10/2023,266.900
1803,10/9/2023,10/10/2023,271.400
1804,10/9/2023,10/10/2023,281.200
1820,10/9/2023,10/10/2023,268.600
1821,10/9/2023,10/10/2023,266.600
1822,10/9/2023,10/10/2023,268.700
1823,10/9/2023,10/10/2023,262.600
1824,10/9/2023,10/10/2023,265.700
1826,10/9/2023,10/10/2023,264.600
1827,10/9/2023,10/10/2023,265.000
1829,10/9/2023,10/10/2023,275.800
1830,10/9/2023,10/10/2023,272.400
1839,10/9/2023,10/10/2023,280.000
1840,10/9/2023,10/10/2023,260.600
1842,10/9/2023,10/10/2023,276.800
1843,10/9/2023,10/10/2023,269.000
1845,10/9/2023,10/10/2023,280.800
1846,10/9/2023,10/10/2023,264.900
1847,10/9/2023,10/10/2023,279.100
1848,10/9/2023,10/10/2023,280.700
1849,10/9/2023,10/10/2023,258.700
1854,10/9/2023,10/10/2023,272.200
1859,10/9/2023,10/10/2023,282.400
1860,10/9/2023,10/10/2023,263.900
1861,10/9/2023,10/10/2023,273.700
1862,10/9/2023,10/10/2023,268.300
1863,10/9/2023,10/10/2023,269.100
1864,10/9/2023,10/10/2023,263.100
1865,10/9/2023,10/10/2023,265.400
1866,10/9/2023,10/10/2023,264.300
1867,10/9/2023,10/10/2023,262.300
1868,10/9/2023,10/10/2023,267.000
1869,10/9/2023,10/10/2023,275.000
1870,10/9/2023,10/10/2023,268.300
1871,10/9/2023,10/10/2023,265.300
1872,10/9/2023,10/10/2023,278.200
1880,10/9/2023,10/10/2023,275.100
1881,10/9/2023,10/10/2023,268.200
1882,10/9/2023,10/10/2023,193.800
2108,10/10/2023,10/11/2023,282.800
2110,10/10/2023,10/11/2023,267.100
2112,10/10/2023,10/11/2023,263.000
2114,10/10/2023,10/11/2023,244.100
2115,10/10/2023,10/11/2023,267.600
2117,10/10/2023,10/11/2023,264.400
2118,10/10/2023,10/11/2023,266.800
2119,10/10/2023,10/11/2023,264.200
2120,10/10/2023,10/11/2023,265.800
2121,10/10/2023,10/11/2023,265.900
2122,10/10/2023,10/11/2023,245.000
2132,10/10/2023,10/11/2023,273.800
2133,10/10/2023,10/11/2023,264.000
2137,10/10/2023,10/11/2023,263.900
2138,10/10/2023,10/11/2023,278.100
2139,10/10/2023,10/11/2023,269.700
2140,10/10/2023,10/11/2023,267.600
2141,10/10/2023,10/11/2023,260.600
2144,10/10/2023,10/11/2023,264.600
2145,10/10/2023,10/11/2023,270.300
2147,10/10/2023,10/11/2023,260.500
2148,10/10/2023,10/11/2023,263.100
2149,10/10/2023,10/11/2023,262.000
2150,10/10/2023,10/11/2023,270.300
2151,10/10/2023,10/11/2023,282.700
2153,10/10/2023,10/11/2023,259.600
2154,10/10/2023,10/11/2023,267.500
2157,10/10/2023,10/11/2023,279.200
2159,10/10/2023,10/11/2023,112.100
2164,10/10/2023,10/11/2023,280.000
2167,10/10/2023,10/11/2023,263.000
2173,10/10/2023,10/11/2023,281.000
2175,10/10/2023,10/11/2023,275.400
2176,10/10/2023,10/11/2023,264.900
2177,10/10/2023,10/11/2023,261.700
2179,10/11/2023,10/11/2023,270.100
2180,10/11/2023,10/11/2023,264.100
2181,10/11/2023,10/11/2023,267.700
2183,10/11/2023,10/11/2023,260.900
2184,10/11/2023,10/11/2023,262.700
2187,10/11/2023,10/11/2023,265.100
2188,10/11/2023,10/11/2023,267.700
2190,10/11/2023,10/11/2023,267.700
2197,10/11/2023,10/11/2023,265.400
2198,10/11/2023,10/11/2023,265.800
2202,10/11/2023,10/11/2023,269.000
2203,10/11/2023,10/11/2023,264.100
2204,10/11/2023,10/11/2023,264.200
2205,10/11/2023,10/11/2023,258.400
2206,10/11/2023,10/11/2023,266.200
2210,10/11/2023,10/11/2023,265.800
2214,10/11/2023,10/11/2023,252.000
2216,10/11/2023,10/11/2023,268.900
2217,10/11/2023,10/11/2023,265.000
2219,10/11/2023,10/11/2023,265.100
2220,10/11/2023,10/11/2023,274.900
2222,10/11/2023,10/11/2023,267.300
2223,10/11/2023,10/11/2023,260.400
2225,10/11/2023,10/11/2023,270.700
2234,10/11/2023,10/11/2023,262.000
2235,10/11/2023,10/11/2023,264.400
2237,10/11/2023,10/11/2023,267.400
2238,10/11/2023,10/11/2023,266.600
2239,10/11/2023,10/11/2023,267.500
2240,10/11/2023,10/11/2023,265.600
2241,10/11/2023,10/12/2023,265.600
2248,10/11/2023,10/12/2023,271.200
2249,10/11/2023,10/13/2023,270.300
2250,10/11/2023,10/12/2023,268.300
2251,10/11/2023,10/12/2023,264.500
2264,10/11/2023,10/12/2023,267.000
2265,10/11/2023,10/12/2023,269.300
2267,10/11/2023,10/12/2023,265.000
2269,10/11/2023,10/12/2023,269.200
2271,10/11/2023,10/12/2023,267.800
2274,10/11/2023,10/11/2023,266.600
2276,10/11/2023,10/11/2023,270.100
2278,10/11/2023,10/13/2023,269.900
2279,10/11/2023,10/11/2023,270.100
2280,10/11/2023,10/11/2023,267.600
2281,10/11/2023,10/11/2023,291.400
2282,10/11/2023,10/13/2023,270.900
2283,10/11/2023,10/11/2023,276.100
2284,10/11/2023,10/11/2023,268.600
2286,10/11/2023,10/11/2023,274.900
2287,10/11/2023,10/11/2023,265.400
2292,10/11/2023,10/12/2023,270.700
2293,10/11/2023,10/12/2023,271.000
2298,10/11/2023,10/11/2023,254.100
2309,10/11/2023,10/11/2023,156.100
2311,10/11/2023,10/12/2023,261.900
2314,10/11/2023,10/12/2023,271.000
2316,10/11/2023,10/12/2023,264.300
2318,10/11/2023,10/12/2023,268.600
2319,10/11/2023,10/12/2023,265.500
2320,10/11/2023,10/12/2023,266.300
2321,10/11/2023,10/12/2023,269.600
2328,10/11/2023,10/12/2023,268.900
2330,10/11/2023,10/12/2023,264.300
2331,10/11/2023,10/12/2023,265.900
2333,10/11/2023,10/12/2023,261.200
2336,10/11/2023,10/12/2023,255.700
2340,10/11/2023,10/12/2023,256.900
2341,10/11/2023,10/12/2023,262.600
2649,10/13/2023,10/16/2023,270.100
2650,10/13/2023,10/16/2023,262.900
2651,10/13/2023,10/16/2023,265.400
2652,10/13/2023,10/16/2023,264.900
2654,10/13/2023,10/16/2023,265.200
2655,10/13/2023,10/14/2023,266.000
2656,10/13/2023,10/13/2023,264.500
2657,10/13/2023,10/13/2023,265.700
2658,10/13/2023,10/13/2023,266.900
2660,10/13/2023,10/13/2023,265.800
2661,10/13/2023,10/13/2023,264.900
2662,10/13/2023,10/13/2023,267.800
2663,10/13/2023,10/13/2023,269.400
2664,10/13/2023,10/13/2023,267.200
2665,10/13/2023,10/13/2023,267.000
2666,10/13/2023,10/13/2023,269.300
2667,10/13/2023,10/13/2023,273.100
2668,10/13/2023,10/13/2023,268.400
2669,10/13/2023,10/16/2023,267.800
2670,10/13/2023,10/16/2023,266.600
2671,10/13/2023,10/16/2023,268.000
2672,10/13/2023,10/16/2023,269.500
2673,10/13/2023,10/16/2023,266.200
2674,10/13/2023,10/16/2023,271.400
2675,10/13/2023,10/13/2023,267.200
2676,10/13/2023,10/13/2023,265.100
2677,10/13/2023,10/13/2023,267.400
2678,10/13/2023,10/13/2023,265.700
2680,10/13/2023,10/13/2023,268.400
2681,10/13/2023,10/13/2023,271.500
2682,10/13/2023,10/13/2023,270.200
2683,10/13/2023,10/16/2023,265.400
2684,10/13/2023,10/16/2023,275.200
2686,10/13/2023,10/16/2023,269.000
2687,10/13/2023,10/16/2023,264.000
2688,10/13/2023,10/16/2023,272.000
2689,10/13/2023,10/16/2023,272.400
2690,10/13/2023,10/16/2023,267.400
2691,10/13/2023,10/16/2023,265.800
2692,10/13/2023,10/16/2023,270.900
2693,10/13/2023,10/16/2023,272.900
2694,10/13/2023,10/16/2023,266.500
2695,10/13/2023,10/16/2023,267.200
2696,10/13/2023,10/13/2023,267.900
2697,10/13/2023,10/13/2023,264.400
2698,10/13/2023,10/13/2023,266.500
2699,10/13/2023,10/16/2023,267.200
2700,10/13/2023,10/16/2023,265.700
2701,10/13/2023,10/16/2023,270.400
2703,10/13/2023,10/16/2023,265.900
2704,10/13/2023,10/16/2023,264.800
2705,10/13/2023,10/16/2023,267.300
2706,10/13/2023,10/16/2023,267.200
2708,10/13/2023,10/16/2023,249.800
2709,10/13/2023,10/16/2023,271.000
2710,10/13/2023,10/16/2023,264.500
2711,10/13/2023,10/16/2023,265.900
2712,10/13/2023,10/16/2023,264.900
2714,10/13/2023,10/14/2023,269.900
2715,10/13/2023,10/14/2023,266.700
2716,10/13/2023,10/14/2023,263.900
2717,10/13/2023,10/14/2023,263.800
2719,10/13/2023,10/14/2023,267.200
2720,10/13/2023,10/16/2023,268.600
2721,10/13/2023,10/14/2023,251.300
2722,10/13/2023,10/14/2023,260.700
2723,10/13/2023,10/14/2023,267.700
2724,10/13/2023,10/14/2023,263.700
2725,10/13/2023,10/14/2023,264.000
2727,10/13/2023,10/14/2023,275.500
2728,10/13/2023,10/14/2023,270.300
2729,10/13/2023,10/14/2023,272.000
2730,10/13/2023,10/14/2023,271.100
2731,10/13/2023,10/14/2023,264.700
2732,10/13/2023,10/14/2023,266.900
2733,10/13/2023,10/14/2023,269.200
2734,10/13/2023,10/14/2023,257.800
2735,10/13/2023,10/16/2023,268.300
2736,10/13/2023,10/16/2023,268.800
2737,10/13/2023,10/14/2023,268.800
2738,10/13/2023,10/14/2023,262.400
2739,10/13/2023,10/14/2023,268.200
2740,10/13/2023,10/14/2023,269.300
2741,10/13/2023,10/14/2023,267.200
2742,10/13/2023,10/14/2023,270.600
2743,10/13/2023,10/14/2023,278.100
2744,10/13/2023,10/14/2023,266.000
2745,10/13/2023,10/14/2023,273.500
2746,10/13/2023,10/14/2023,267.500
2747,10/13/2023,10/14/2023,265.800
2748,10/13/2023,10/14/2023,268.500
2749,10/13/2023,10/14/2023,270.100
2750,10/13/2023,10/14/2023,266.600
2754,10/13/2023,10/14/2023,272.400
2755,10/13/2023,10/16/2023,269.700
2757,10/13/2023,10/16/2023,267.300
2758,10/13/2023,10/16/2023,267.800
2759,10/13/2023,10/16/2023,266.800
2760,10/13/2023,10/16/2023,266.200
2761,10/13/2023,10/16/2023,267.200
2762,10/13/2023,10/16/2023,267.900
2763,10/13/2023,10/16/2023,270.500
2764,10/13/2023,10/16/2023,267.000
2765,10/13/2023,10/16/2023,268.500
2766,10/13/2023,10/16/2023,267.100
2767,10/13/2023,10/16/2023,270.200
2768,10/13/2023,10/16/2023,270.200
2769,10/13/2023,10/16/2023,280.400
2770,10/13/2023,10/16/2023,270.500
2771,10/13/2023,10/16/2023,247.700
2772,10/13/2023,10/16/2023,280.700
2773,10/13/2023,10/16/2023,273.600
2774,10/13/2023,10/16/2023,268.300
2775,10/13/2023,10/16/2023,274.500
2776,10/13/2023,10/16/2023,269.000
2777,10/13/2023,10/16/2023,270.500
2778,10/13/2023,10/16/2023,269.600
2780,10/13/2023,10/16/2023,271.900
2784,10/13/2023,10/16/2023,274.700
2786,10/13/2023,10/16/2023,265.800
2788,10/13/2023,10/16/2023,270.700
2790,10/13/2023,10/16/2023,269.700
2792,10/13/2023,10/16/2023,279.800
2793,10/13/2023,10/16/2023,268.500
2794,10/13/2023,10/16/2023,268.400
2795,10/13/2023,10/16/2023,270.300
2796,10/13/2023,10/16/2023,273.600
2798,10/13/2023,10/16/2023,275.900
2801,10/13/2023,10/16/2023,284.000
2807,10/13/2023,10/16/2023,267.000
2809,10/13/2023,10/16/2023,279.100
2811,10/13/2023,10/16/2023,268.600
2813,10/13/2023,10/16/2023,283.400
2815,10/13/2023,10/16/2023,276.200
2816,10/13/2023,10/16/2023,16.200
2817,10/13/2023,10/16/2023,267.800
2818,10/13/2023,10/16/2023,283.600
2819,10/13/2023,10/16/2023,268.400
2820,10/13/2023,10/16/2023,284.800
2821,10/13/2023,10/16/2023,288.400
2822,10/13/2023,10/16/2023,282.700
2823,10/13/2023,10/16/2023,280.200
2824,10/13/2023,10/16/2023,281.100
2826,10/13/2023,10/16/2023,287.500
2827,10/13/2023,10/16/2023,287.100
2828,10/13/2023,10/16/2023,280.100
2829,10/13/2023,10/16/2023,273.100
2830,10/13/2023,10/16/2023,121.100
2832,10/13/2023,10/16/2023,267.600
2833,10/13/2023,10/16/2023,275.300
2836,10/13/2023,10/16/2023,290.900
2837,10/13/2023,10/16/2023,122.400
2839,10/13/2023,10/16/2023,281.800
2840,10/13/2023,10/16/2023,284.300
2841,10/13/2023,10/16/2023,277.100
2844,10/13/2023,10/16/2023,267.100
2845,10/13/2023,10/16/2023,287.200
2846,10/13/2023,10/16/2023,269.100
2847,10/13/2023,10/16/2023,170.200
2848,10/13/2023,10/16/2023,269.200
2849,10/13/2023,10/16/2023,274.600
2850,10/13/2023,10/16/2023,147.500
2851,10/13/2023,10/16/2023,217.800
2852,10/13/2023,10/16/2023,271.400
2853,10/13/2023,10/16/2023,268.700
2854,10/13/2023,10/16/2023,271.700
2855,10/13/2023,10/16/2023,276.300
2856,10/13/2023,10/16/2023,278.500
2857,10/13/2023,10/16/2023,277.300
2859,10/13/2023,10/16/2023,266.800
2861,10/13/2023,10/16/2023,260.800
2862,10/13/2023,10/16/2023,269.200
2866,10/13/2023,10/16/2023,270.400
2868,10/13/2023,10/16/2023,185.200
2870,10/13/2023,10/16/2023,256.600
2872,10/13/2023,10/16/2023,271.000
2874,10/13/2023,10/16/2023,237.400
2876,10/13/2023,10/16/2023,239.800
2877,10/13/2023,10/16/2023,263.600
2878,10/13/2023,10/16/2023,268.100
2879,10/13/2023,10/16/2023,261.300
2880,10/13/2023,10/16/2023,269.100
2881,10/13/2023,10/16/2023,263.200
2882,10/13/2023,10/16/2023,265.700
2884,10/13/2023,10/16/2023,244.000
2885,10/13/2023,10/16/2023,274.000
2886,10/13/2023,10/16/2023,153.200
2887,10/13/2023,10/16/2023,67.000
2888,10/13/2023,10/16/2023,261.900
2889,10/13/2023,10/16/2023,266.100
2890,10/13/2023,10/16/2023,270.200
2891,10/13/2023,10/16/2023,272.500
2892,10/13/2023,10/16/2023,268.200
2779,10/14/2023,10/16/2023,266.000
2782,10/14/2023,10/16/2023,275.000
2783,10/14/2023,10/16/2023,285.200
2791,10/14/2023,10/16/2023,265.000
2797,10/14/2023,10/16/2023,274.100
2799,10/14/2023,10/16/2023,267.000
2802,10/14/2023,10/16/2023,271.500
2803,10/14/2023,10/16/2023,263.000
2806,10/14/2023,10/16/2023,281.000
2808,10/14/2023,10/16/2023,285.000
2810,10/14/2023,10/16/2023,285.200
2812,10/14/2023,10/16/2023,268.000
2814,10/14/2023,10/16/2023,267.000
2825,10/14/2023,10/16/2023,293.100
2834,10/14/2023,10/16/2023,289.300
2835,10/14/2023,10/16/2023,267.000
2838,10/14/2023,10/16/2023,285.000
2842,10/14/2023,10/16/2023,272.200
2858,10/14/2023,10/16/2023,260.000
2860,10/14/2023,10/16/2023,258.000
2863,10/14/2023,10/16/2023,265.000
2865,10/14/2023,10/16/2023,261.000
2867,10/14/2023,10/16/2023,260.000
2869,10/14/2023,10/16/2023,267.000
2873,10/14/2023,10/16/2023,252.300
2875,10/14/2023,10/16/2023,265.000
2894,10/16/2023,10/16/2023,260.800
2895,10/16/2023,10/16/2023,267.100
2898,10/16/2023,10/16/2023,261.800
2899,10/16/2023,10/16/2023,258.800
2900,10/16/2023,10/16/2023,266.200
2902,10/16/2023,10/17/2023,283.100
2906,10/16/2023,10/17/2023,268.000
2907,10/16/2023,10/17/2023,240.400
2913,10/16/2023,10/17/2023,254.700
2914,10/16/2023,10/17/2023,267.700
2916,10/16/2023,10/16/2023,271.600
2917,10/16/2023,10/17/2023,250.600
2921,10/16/2023,10/17/2023,271.700
2922,10/16/2023,10/17/2023,268.400
2923,10/16/2023,10/17/2023,258.900
2932,10/16/2023,10/17/2023,270.700
2933,10/16/2023,10/16/2023,264.900
2934,10/16/2023,10/17/2023,273.900
2935,10/16/2023,10/17/2023,252.900
2940,10/16/2023,10/17/2023,265.900
2942,10/16/2023,10/17/2023,264.700
2944,10/16/2023,10/17/2023,266.600
2947,10/16/2023,10/17/2023,280.400
2951,10/16/2023,10/17/2023,246.500
2952,10/16/2023,10/17/2023,265.400
2956,10/16/2023,10/17/2023,273.900
2957,10/16/2023,10/17/2023,273.200
2958,10/16/2023,10/17/2023,272.500
2960,10/16/2023,10/17/2023,265.500
2963,10/16/2023,10/17/2023,270.800
2964,10/16/2023,10/17/2023,267.200
2971,10/16/2023,10/17/2023,272.200
2975,10/16/2023,10/17/2023,279.000
2977,10/16/2023,10/17/2023,252.100
2982,10/16/2023,10/17/2023,276.000
2983,10/16/2023,10/17/2023,265.800
2984,10/16/2023,10/17/2023,287.200
2986,10/16/2023,10/17/2023,275.100
2990,10/16/2023,10/17/2023,274.400
2991,10/16/2023,10/17/2023,262.500
2992,10/16/2023,10/17/2023,267.400
2994,10/16/2023,10/17/2023,265.600
2998,10/16/2023,10/17/2023,267.100
2999,10/16/2023,10/17/2023,270.100
3001,10/16/2023,10/17/2023,268.500
3002,10/16/2023,10/17/2023,269.600
3006,10/16/2023,10/17/2023,271.800
3007,10/16/2023,10/17/2023,284.500
3009,10/16/2023,10/17/2023,264.100
3010,10/16/2023,10/17/2023,272.000
3013,10/16/2023,10/17/2023,276.100
3016,10/16/2023,10/17/2023,266.700
3017,10/16/2023,10/17/2023,276.600
3018,10/16/2023,10/17/2023,271.300
3028,10/16/2023,10/17/2023,267.300
3029,10/16/2023,10/17/2023,268.400
3031,10/16/2023,10/17/2023,270.200
3033,10/16/2023,10/17/2023,272.900
3034,10/16/2023,10/17/2023,265.400
3037,10/16/2023,10/17/2023,268.400
3038,10/16/2023,10/17/2023,271.500
3048,10/16/2023,10/17/2023,261.300
3049,10/16/2023,10/17/2023,101.600
3054,10/16/2023,10/17/2023,104.900
3055,10/16/2023,10/17/2023,265.400
3057,10/16/2023,10/17/2023,265.000
3061,10/16/2023,10/17/2023,268.700
3062,10/16/2023,10/17/2023,219.700
3063,10/16/2023,10/17/2023,278.000
3066,10/16/2023,10/17/2023,261.900
3069,10/16/2023,10/17/2023,272.600
3074,10/16/2023,10/17/2023,271.700
3075,10/16/2023,10/17/2023,275.900
3076,10/16/2023,10/17/2023,263.100
3077,10/16/2023,10/17/2023,277.600
3079,10/16/2023,10/17/2023,257.900
3082,10/16/2023,10/17/2023,269.000
3083,10/16/2023,10/17/2023,266.200
3085,10/16/2023,10/17/2023,259.400
3088,10/16/2023,10/16/2023,272.200
3089,10/16/2023,10/17/2023,259.400
3091,10/16/2023,10/17/2023,251.300
3092,10/16/2023,10/17/2023,275.900
3095,10/16/2023,10/17/2023,271.100
3096,10/16/2023,10/17/2023,262.600
3097,10/16/2023,10/17/2023,265.100
3098,10/16/2023,10/17/2023,262.000
3106,10/16/2023,10/17/2023,260.100
3108,10/16/2023,10/17/2023,266.600
3110,10/16/2023,10/17/2023,274.200
3111,10/16/2023,10/17/2023,265.300
3112,10/16/2023,10/17/2023,269.000
3128,10/16/2023,10/17/2023,259.700
3129,10/16/2023,10/17/2023,266.000
3132,10/16/2023,10/17/2023,267.100
3133,10/16/2023,10/17/2023,268.400
3144,10/16/2023,10/17/2023,281.000
3145,10/16/2023,10/17/2023,265.500
3149,10/16/2023,10/17/2023,274.800
3150,10/16/2023,10/17/2023,268.100
3152,10/16/2023,10/17/2023,271.600
3153,10/16/2023,10/17/2023,271.200
3154,10/16/2023,10/17/2023,275.700
3155,10/16/2023,10/17/2023,266.600
3156,10/16/2023,10/17/2023,267.700
3157,10/16/2023,10/17/2023,270.100
3158,10/16/2023,10/17/2023,266.100
3159,10/16/2023,10/17/2023,269.700
3161,10/16/2023,10/17/2023,272.600
3162,10/16/2023,10/17/2023,269.900
3167,10/16/2023,10/17/2023,262.400
3169,10/16/2023,10/17/2023,265.200
3170,10/16/2023,10/17/2023,151.000
3454,10/18/2023,10/19/2023,264.500
3457,10/18/2023,10/19/2023,287.500
3458,10/18/2023,10/19/2023,282.600
3461,10/18/2023,10/18/2023,278.600
3469,10/18/2023,10/18/2023,266.600
3470,10/18/2023,10/18/2023,278.000
3471,10/18/2023,10/18/2023,280.100
3472,10/18/2023,10/18/2023,271.900
3475,10/18/2023,10/18/2023,287.300
3482,10/18/2023,10/19/2023,287.400
3484,10/18/2023,10/18/2023,280.100
3486,10/18/2023,10/19/2023,277.800
3491,10/18/2023,10/18/2023,280.400
3492,10/18/2023,10/18/2023,280.800
3493,10/18/2023,10/18/2023,276.000
3494,10/18/2023,10/18/2023,285.800
3495,10/18/2023,10/18/2023,284.600
3499,10/18/2023,10/18/2023,286.600
3500,10/18/2023,10/18/2023,283.000
3504,10/18/2023,10/18/2023,284.000
3505,10/18/2023,10/18/2023,285.000
3508,10/18/2023,10/18/2023,284.300
3512,10/18/2023,10/18/2023,282.100
3513,10/18/2023,10/18/2023,284.800
3518,10/18/2023,10/18/2023,284.200
3519,10/18/2023,10/18/2023,287.100
3522,10/18/2023,10/18/2023,276.600
3523,10/18/2023,10/18/2023,286.700
3524,10/18/2023,10/18/2023,283.800
3527,10/18/2023,10/18/2023,284.700
3530,10/18/2023,10/19/2023,283.200
3532,10/18/2023,10/19/2023,282.900
3535,10/18/2023,10/19/2023,265.700
3538,10/18/2023,10/19/2023,285.000
3540,10/18/2023,10/19/2023,288.100
3543,10/18/2023,10/18/2023,284.900
3546,10/18/2023,10/19/2023,283.300
3549,10/18/2023,10/19/2023,260.100
3551,10/18/2023,10/19/2023,268.500
3553,10/18/2023,10/19/2023,271.900
3554,10/18/2023,10/19/2023,283.800
3558,10/18/2023,10/19/2023,281.800
3559,10/18/2023,10/19/2023,279.500
3564,10/18/2023,10/19/2023,265.200
3567,10/18/2023,10/19/2023,272.500
3569,10/18/2023,10/19/2023,268.500
3574,10/18/2023,10/19/2023,266.000
3575,10/18/2023,10/19/2023,271.100
3578,10/18/2023,10/19/2023,262.600
3579,10/18/2023,10/19/2023,243.700
3583,10/18/2023,10/19/2023,269.800
3586,10/18/2023,10/19/2023,267.800
3587,10/18/2023,10/19/2023,257.200
3588,10/18/2023,10/19/2023,265.400
3591,10/18/2023,10/19/2023,266.900
3593,10/18/2023,10/19/2023,278.500
3595,10/18/2023,10/19/2023,267.100
3599,10/18/2023,10/19/2023,271.900
3600,10/18/2023,10/19/2023,268.200
3605,10/18/2023,10/19/2023,265.400
3607,10/18/2023,10/19/2023,262.600
3608,10/18/2023,10/19/2023,266.800
3609,10/18/2023,10/19/2023,265.400
3610,10/18/2023,10/19/2023,267.900
3611,10/18/2023,10/19/2023,266.600
3612,10/18/2023,10/19/2023,257.300
3613,10/18/2023,10/19/2023,263.700
3616,10/18/2023,10/19/2023,265.800
3620,10/18/2023,10/19/2023,255.500
3625,10/18/2023,10/19/2023,263.800
3627,10/18/2023,10/19/2023,255.600
3628,10/18/2023,10/19/2023,263.500
3632,10/18/2023,10/19/2023,254.200
3635,10/18/2023,10/19/2023,261.800
3636,10/18/2023,10/19/2023,259.800
3637,10/18/2023,10/19/2023,261.000
3638,10/18/2023,10/19/2023,258.000
3639,10/18/2023,10/19/2023,249.000
3640,10/18/2023,10/19/2023,259.700
3641,10/18/2023,10/19/2023,260.000
3643,10/18/2023,10/19/2023,270.200
3644,10/18/2023,10/19/2023,263.000
3646,10/18/2023,10/19/2023,274.000
3647,10/18/2023,10/19/2023,275.000
3650,10/18/2023,10/19/2023,266.300
3651,10/18/2023,10/19/2023,263.200
3656,10/18/2023,10/19/2023,264.500
3657,10/18/2023,10/19/2023,259.600
3660,10/18/2023,10/19/2023,242.300
3663,10/19/2023,10/19/2023,276.000
3664,10/19/2023,10/19/2023,280.700
3670,10/19/2023,10/19/2023,273.700
3671,10/19/2023,10/19/2023,280.100
3677,10/19/2023,10/19/2023,285.500
3678,10/19/2023,10/19/2023,285.000
3679,10/19/2023,10/19/2023,278.200
3680,10/19/2023,10/19/2023,268.800
3681,10/19/2023,10/19/2023,287.500
3682,10/19/2023,10/19/2023,283.400
3683,10/19/2023,10/19/2023,286.800
3689,10/19/2023,10/19/2023,284.500
3694,10/19/2023,10/19/2023,285.400
3696,10/19/2023,10/19/2023,266.600
3889,10/20/2023,10/23/2023,280.900
3891,10/20/2023,10/23/2023,274.400
3893,10/20/2023,10/23/2023,278.000
3895,10/20/2023,10/23/2023,279.000
3899,10/20/2023,10/23/2023,272.000
3901,10/20/2023,10/23/2023,281.300
3903,10/20/2023,10/23/2023,272.500
3904,10/20/2023,10/23/2023,273.000
3905,10/20/2023,10/23/2023,279.900
3908,10/20/2023,10/23/2023,273.600
3915,10/20/2023,10/23/2023,281.700
3916,10/20/2023,10/23/2023,281.900
3918,10/20/2023,10/23/2023,269.700
3919,10/20/2023,10/23/2023,285.700
3921,10/20/2023,10/23/2023,278.200
3922,10/20/2023,10/23/2023,282.500
3924,10/20/2023,10/23/2023,279.500
3926,10/20/2023,10/23/2023,263.500
3931,10/20/2023,10/23/2023,271.500
3932,10/20/2023,10/23/2023,272.800
