BATCH no.,PRODUCTION DATE,BATCH WEIGHT (kg) BEFORE COOKING,BATCH WEIGHT (kg) AFTER COOKING,LOSS PERCENTAGE
2110,2023-10-10,270.9,267.1,1.402731635289758
2112,2023-10-10,268.9,263.0,2.1941242097433906
2114,2023-10-10,249.2,244.1,2.046548956661314
2115,2023-10-10,272.2,267.6,1.6899338721528163
2117,2023-10-10,271.2,264.4,2.5073746312684406
2118,2023-10-10,268.7,266.8,0.7071082992184509
2119,2023-10-10,269.3,264.2,1.8937987374675165
2120,2023-10-10,271.6,265.8,2.1354933726067786
2121,2023-10-10,271.5,265.9,2.062615101289143
2122,2023-10-10,252.0,245.0,2.7777777777777777
2132,2023-10-10,279.5,273.8,2.039355992844361
2133,2023-10-10,270.0,264.0,2.2222222222222223
2137,2023-10-10,269.6,263.9,2.114243323442153
2138,2023-10-10,283.0,278.1,1.7314487632508753
2139,2023-10-10,275.3,269.7,2.0341445695604876
2140,2023-10-10,271.7,267.6,1.5090172984909702
2141,2023-10-10,265.8,260.6,1.9563581640331031
2144,2023-10-10,270.2,264.6,2.0725388601036143
2145,2023-10-10,275.9,270.3,2.029720913374399
2147,2023-10-10,266.5,260.5,2.25140712945591
2148,2023-10-10,269.2,263.1,2.265973254086169
2149,2023-10-10,268.4,262.0,2.3845007451564744
2150,2023-10-10,275.7,270.3,1.958650707290525
2151,2023-10-10,288.3,282.7,1.9424210891432612
2153,2023-10-10,264.9,259.6,2.000755001887488
2154,2023-10-10,272.3,267.5,1.7627616599339004
2157,2023-10-10,285.5,279.2,2.2066549912434366
2159,2023-10-10,115.0,112.1,2.5217391304347876
2164,2023-10-10,286.4,280.0,2.234636871508372
2167,2023-10-10,268.6,263.0,2.084884586746099
2173,2023-10-10,285.4,281.0,1.5416958654519892
2175,2023-10-10,280.5,275.4,1.8181818181818263
2176,2023-10-10,269.9,264.9,1.8525379770285293
2177,2023-10-10,268.2,261.7,2.423564504101417
2179,2023-10-11,281.2,270.1,3.9473684210526194
2180,2023-10-11,274.6,264.1,3.823743627093955
2181,2023-10-11,279.1,267.7,4.084557506270166
2183,2023-10-11,269.8,260.9,3.2987398072646528
2184,2023-10-11,272.6,262.7,3.631694790902433
2187,2023-10-11,274.8,265.1,3.52983988355167
2188,2023-10-11,273.5,267.7,2.120658135283368
2190,2023-10-11,274.1,267.7,2.334914264866849
2197,2023-10-11,272.3,265.4,2.5339698861549884
2198,2023-10-11,271.3,265.8,2.0272760781422776
2202,2023-10-11,275.8,269.0,2.4655547498187134
2203,2023-10-11,270.0,264.1,2.1851851851851767
2204,2023-10-11,270.6,264.2,2.365114560236524
2205,2023-10-11,263.9,258.4,2.0841227737779464
2206,2023-10-11,272.9,266.2,2.455111762550381
2210,2023-10-11,270.9,265.8,1.8826135105204749
2214,2023-10-11,258.2,252.0,2.401239349341591
2216,2023-10-11,274.5,268.9,2.040072859744999
2217,2023-10-11,271.3,265.0,2.3221525985993403
2219,2023-10-11,270.7,265.1,2.068710749907634
2220,2023-10-11,280.9,274.9,2.135991456034176
2222,2023-10-11,273.1,267.3,2.1237641889417835
2223,2023-10-11,266.2,260.4,2.17881292261458
2225,2023-10-11,278.3,270.7,2.7308659719726993
2234,2023-10-11,267.0,262.0,1.8726591760299627
2235,2023-10-11,271.5,264.4,2.6151012891344467
2237,2023-10-11,273.3,267.4,2.1587998536407005
2238,2023-10-11,271.4,266.6,1.7686072218128057
2239,2023-10-11,273.8,267.5,2.3009495982468997
2240,2023-10-11,271.1,265.6,2.0287716709701216
2241,2023-10-11,270.9,265.6,1.9564414913251955
2248,2023-10-11,265.3,271.2,-2.2238974745570963
2249,2023-10-11,275.1,270.3,1.7448200654307564
2250,2023-10-11,275.1,268.3,2.471828426026903
2251,2023-10-11,272.1,264.5,2.79309077545021
2264,2023-10-11,273.7,267.0,2.447935696017533
2265,2023-10-11,263.1,269.3,-2.3565184340554874
2267,2023-10-11,272.4,265.0,2.7165932452275983
2269,2023-10-11,274.1,269.2,1.7876687340386843
2271,2023-10-11,273.3,267.8,2.012440541529455
2274,2023-10-11,271.7,266.6,1.877070298122917
2276,2023-10-11,277.0,270.1,2.490974729241869
2278,2023-10-11,274.2,269.9,1.5681983953318788
2279,2023-10-11,276.4,270.1,2.2793053545585944
2280,2023-10-11,273.7,267.6,2.228717573986104
2281,2023-10-11,297.7,291.4,2.1162243869667487
2282,2023-10-11,277.7,270.9,2.4486856319769577
2283,2023-10-11,285.6,276.1,3.3263305322128853
2284,2023-10-11,274.9,268.6,2.2917424518006384
2286,2023-10-11,281.7,274.9,2.4139155129570504
2287,2023-10-11,273.4,265.4,2.926115581565472
2292,2023-10-11,276.5,270.7,2.097649186256785
2293,2023-10-11,278.5,271.0,2.6929982046678633
2298,2023-10-11,263.2,254.1,3.4574468085106362
2309,2023-10-11,271.4,156.1,42.4834193072955
2311,2023-10-11,267.4,261.9,2.056843679880329
2314,2023-10-11,275.8,271.0,1.7403915881073282
2316,2023-10-11,268.9,264.3,1.7106731126812817
2318,2023-10-11,273.5,268.6,1.7915904936014544
2319,2023-10-11,271.5,265.5,2.209944751381215
2320,2023-10-11,272.9,266.3,2.4184683034078294
2321,2023-10-11,277.0,269.6,2.671480144404324
2328,2023-10-11,274.5,268.9,2.040072859744999
2330,2023-10-11,271.0,264.3,2.4723247232472283
2331,2023-10-11,271.7,265.9,2.134707397865297
2333,2023-10-11,267.5,261.2,2.355140186915892
2336,2023-10-11,261.5,255.7,2.217973231357557
2340,2023-10-11,261.9,256.9,1.9091256204658267
2341,2023-10-11,268.5,262.6,2.197392923649898
2649,2023-10-13,274.9,270.1,1.7460894870861967
2650,2023-10-13,268.3,262.9,2.012672381662331
2651,2023-10-13,270.5,265.4,1.8853974121996389
2652,2023-10-13,270.9,264.9,2.2148394241417497
2654,2023-10-13,269.1,265.2,1.449275362318853
2655,2023-10-13,271.0,266.0,1.8450184501845017
2656,2023-10-13,267.8,264.5,1.232262882748324
2657,2023-10-13,270.8,265.7,1.8833087149187675
2658,2023-10-13,271.3,266.9,1.6218208625138348
2660,2023-10-13,269.8,265.8,1.4825796886582654
2661,2023-10-13,270.1,264.9,1.9252128841170102
2662,2023-10-13,271.7,267.8,1.435406698564585
2663,2023-10-13,274.8,269.4,1.9650655021834182
2664,2023-10-13,273.6,267.2,2.33918128654972
2665,2023-10-13,272.0,267.0,1.8382352941176472
2666,2023-10-13,273.8,269.3,1.643535427319211
2667,2023-10-13,276.9,273.1,1.3723365836041728
2668,2023-10-13,272.7,268.4,1.576824349101581
2669,2023-10-13,272.3,267.8,1.6525890561880279
2670,2023-10-13,271.0,266.6,1.6236162361623532
2671,2023-10-13,272.4,268.0,1.6152716593245144
2672,2023-10-13,274.4,269.5,1.7857142857142776
2673,2023-10-13,269.9,266.2,1.3708781030011075
2674,2023-10-13,276.0,271.4,1.666666666666675
2675,2023-10-13,271.3,267.2,1.5112421673424337
2676,2023-10-13,271.2,265.1,2.249262536873144
2677,2023-10-13,272.6,267.4,1.9075568598679549
2678,2023-10-13,272.1,265.7,2.352076442484393
2680,2023-10-13,271.4,268.4,1.1053795136330142
2681,2023-10-13,276.0,271.5,1.6304347826086956
2682,2023-10-13,274.5,270.2,1.5664845173041935
2683,2023-10-13,269.5,265.4,1.5213358070501013
2684,2023-10-13,279.8,275.2,1.6440314510364626
2686,2023-10-13,273.4,269.0,1.6093635698610012
2687,2023-10-13,268.8,264.0,1.7857142857142898
2688,2023-10-13,277.0,272.0,1.8050541516245486
2689,2023-10-13,276.6,272.4,1.5184381778742029
2690,2023-10-13,272.4,267.4,1.8355359765051396
2691,2023-10-13,268.8,265.8,1.1160714285714286
2692,2023-10-13,276.3,270.9,1.9543973941368202
2693,2023-10-13,275.7,272.9,1.0155966630395399
2694,2023-10-13,270.9,266.5,1.6242155777039418
2695,2023-10-13,271.9,267.2,1.7285766826038944
2696,2023-10-13,272.3,267.9,1.6158648549394174
2697,2023-10-13,267.5,264.4,1.1588785046729058
2698,2023-10-13,271.6,266.5,1.8777614138438963
2699,2023-10-13,272.4,267.2,1.9089574155653413
2700,2023-10-13,271.0,265.7,1.955719557195576
2701,2023-10-13,276.4,270.4,2.1707670043415344
2703,2023-10-13,268.5,265.9,0.9683426443203065
2704,2023-10-13,270.0,264.8,1.9259259259259216
2705,2023-10-13,273.5,267.3,2.2669104204753157
2706,2023-10-13,271.6,267.2,1.6200294550810137
2708,2023-10-13,255.0,249.8,2.0392156862745052
2709,2023-10-13,276.3,271.0,1.918204849800945
2710,2023-10-13,271.1,264.5,2.4345260051641544
2711,2023-10-13,271.5,265.9,2.062615101289143
2712,2023-10-13,270.2,264.9,1.96150999259808
2714,2023-10-13,275.5,269.9,2.03266787658803
2715,2023-10-13,269.6,266.7,1.0756676557863627
2716,2023-10-13,269.3,263.9,2.0051986632009036
2717,2023-10-13,268.9,263.8,1.8966158423205526
2719,2023-10-13,273.2,267.2,2.1961932650073206
2720,2023-10-13,273.8,268.6,1.8991964937910844
2721,2023-10-13,256.3,251.3,1.950838860710105
2722,2023-10-13,264.5,260.7,1.4366729678638985
2723,2023-10-13,272.4,267.7,1.7254038179148272
2724,2023-10-13,268.3,263.7,1.7144986954901316
2725,2023-10-13,268.6,264.0,1.7125837676842972
2727,2023-10-13,279.4,275.5,1.395848246241939
2728,2023-10-13,274.9,270.3,1.6733357584576085
2729,2023-10-13,275.9,272.0,1.413555636100028
2730,2023-10-13,275.6,271.1,1.6328011611030475
2731,2023-10-13,269.6,264.7,1.8175074183976385
2732,2023-10-13,270.4,266.9,1.2943786982248522
2733,2023-10-13,273.4,269.2,1.5362106803218687
2734,2023-10-13,262.1,257.8,1.6405951926745557
2735,2023-10-13,273.4,268.3,1.8653986832479759
2736,2023-10-13,273.1,268.8,1.5745148297327027
2737,2023-10-13,273.7,268.8,1.7902813299232652
2738,2023-10-13,267.7,262.4,1.9798281658573071
2739,2023-10-13,272.5,268.2,1.577981651376151
2740,2023-10-13,274.5,269.3,1.8943533697632016
2741,2023-10-13,272.9,267.2,2.0886771711249503
2742,2023-10-13,275.6,270.6,1.8142235123367199
2743,2023-10-13,282.0,278.1,1.3829787234042472
2744,2023-10-13,270.9,266.0,1.8087855297157542
2745,2023-10-13,277.9,273.5,1.5833033465275197
2746,2023-10-13,273.0,267.5,2.0146520146520146
2747,2023-10-13,271.1,265.8,1.9549981556621212
2748,2023-10-13,273.1,268.5,1.6843647015745231
2749,2023-10-13,274.7,270.1,1.6745540589734134
2750,2023-10-13,271.1,266.6,1.6599040944300993
2754,2023-10-13,276.5,272.4,1.482820976491871
2755,2023-10-13,274.2,269.7,1.6411378555798688
2757,2023-10-13,271.9,267.3,1.6917984553144412
2758,2023-10-13,272.4,267.8,1.6886930983847157
2759,2023-10-13,271.7,266.8,1.803459698196532
2760,2023-10-13,271.4,266.2,1.915991156963887
2761,2023-10-13,272.6,267.2,1.980924431401333
2762,2023-10-13,272.8,267.9,1.7961876832844696
2763,2023-10-13,274.7,270.5,1.5289406625409496
2764,2023-10-13,274.1,267.0,2.590295512586655
2765,2023-10-14,274.1,268.5,2.0430499817584904
2766,2023-10-14,272.7,267.1,2.053538687202041
2767,2023-10-14,274.9,270.2,1.7097126227719128
2768,2023-10-14,275.2,270.2,1.8168604651162792
2769,2023-10-14,285.9,280.4,1.9237495627841903
2770,2023-10-14,275.1,270.5,1.6721192293711458
2771,2023-10-14,282.6,247.7,12.34961075725408
2772,2023-10-14,280.7,280.7,0.0
2773,2023-10-14,279.6,273.6,2.1459227467811157
2774,2023-10-14,273.2,268.3,1.7935578330893036
2775,2023-10-14,279.3,274.5,1.7185821697099934
2776,2023-10-14,275.1,269.0,2.217375499818256
2777,2023-10-14,276.2,270.5,2.063721940622733
2778,2023-10-14,274.7,269.6,1.856570804514003
2779,2023-10-14,275.7,266.0,3.5183170112441022
2780,2023-10-14,277.2,271.9,1.911976911976916
2781,2023-10-14,277.4,263.0,5.191059841384274
2782,2023-10-14,285.2,275.0,3.5764375876577805
2783,2023-10-14,285.2,285.2,0.0
2784,2023-10-14,280.9,274.7,2.207191171235311
2786,2023-10-14,270.8,265.8,1.8463810930576072
2788,2023-10-14,275.3,270.7,1.670904467853259
2790,2023-10-14,274.7,269.7,1.8201674554058973
2791,2023-10-14,274.4,265.0,3.425655976676377
2792,2023-10-14,284.9,279.8,1.7901017901017784
2793,2023-10-14,274.8,268.5,2.2925764192139777
2794,2023-10-14,274.1,268.4,2.079533017147043
2795,2023-10-14,274.9,270.3,1.6733357584576085
2796,2023-10-14,278.9,273.6,1.900322696306904
2797,2023-10-14,274.1,274.1,0.0
2798,2023-10-14,280.9,275.9,1.7799928800284799
2799,2023-10-14,275.2,267.0,2.9796511627906934
2800,2023-10-14,264.6,259.6,1.8896447467876036
2801,2023-10-14,288.0,284.0,1.3888888888888888
2802,2023-10-14,271.5,271.5,0.0
2803,2023-10-14,272.0,263.0,3.308823529411765
2804,2023-10-14,275.1,270.4,1.7084696474009615
2805,2023-10-14,284.0,53.4,81.19718309859155
2806,2023-10-14,283.9,281.0,1.021486438886924
2807,2023-10-14,272.7,267.0,2.090209020902086
2808,2023-10-14,272.9,285.0,-4.433858556247718
2809,2023-10-14,285.2,279.1,2.138849929873761
2810,2023-10-14,285.2,285.2,0.0
2811,2023-10-14,273.8,268.6,1.8991964937910844
2812,2023-10-14,273.7,268.0,2.082572159298498
2813,2023-10-14,288.9,283.4,1.9037729318103151
2814,2023-10-14,288.9,267.0,7.580477673935611
2815,2023-10-14,280.8,276.2,1.638176638176646
2816,2023-10-14,283.5,16.2,94.28571428571429
2817,2023-10-14,272.0,267.8,1.5441176470588194
2818,2023-10-14,288.2,283.6,1.5961138098542562
2819,2023-10-14,164.7,268.4,-62.96296296296296
2820,2023-10-14,289.0,284.8,1.45328719723183
2821,2023-10-14,292.0,288.4,1.232876712328775
2822,2023-10-14,287.4,282.7,1.6353514265831555
2823,2023-10-14,285.5,280.2,1.8563922942206694
2824,2023-10-14,284.5,281.1,1.195079086115985
2825,2023-10-14,293.1,293.1,0.0
2826,2023-10-14,293.0,287.5,1.877133105802048
2827,2023-10-14,292.9,287.1,1.9801980198019649
2828,2023-10-14,283.7,280.1,1.2689460697920218
2829,2023-10-14,277.8,273.1,1.6918646508279296
2830,2023-10-14,288.3,121.1,57.99514394727715
2832,2023-10-14,273.0,267.6,1.9780219780219697
2833,2023-10-14,280.3,275.3,1.783803068141277
2834,2023-10-14,289.3,289.3,0.0
2835,2023-10-14,275.8,267.0,3.1907179115300983
2836,2023-10-14,295.5,290.9,1.5566835871404476
2837,2023-10-14,271.8,122.4,54.966887417218544
2838,2023-10-14,292.8,285.0,2.663934426229512
2839,2023-10-14,286.6,281.8,1.674808094905796
2840,2023-10-14,289.3,284.3,1.7283097131005878
2841,2023-10-14,282.5,277.1,1.9115044247787532
2842,2023-10-14,272.2,272.2,0.0
2844,2023-10-14,272.0,267.1,1.8014705882352857
2845,2023-10-14,291.8,287.2,1.5764222069910974
2846,2023-10-14,274.2,269.1,1.8599562363238387
2847,2023-10-14,291.4,170.2,41.59231297185998
2848,2023-10-14,273.8,269.2,1.680058436815202
2849,2023-10-14,279.8,274.6,1.8584703359542492
2850,2023-10-14,278.3,147.5,46.99964067553001
2851,2023-10-14,272.2,217.8,19.985304922850837
2852,2023-10-14,275.9,271.4,1.6310257339615806
2853,2023-10-14,273.2,268.7,1.6471449487554906
2854,2023-10-14,277.0,271.7,1.9133574007220255
2855,2023-10-14,280.3,276.3,1.4270424545130218
2856,2023-10-14,284.0,278.5,1.936619718309859
2857,2023-10-14,282.6,277.3,1.8754423213021978
2858,2023-10-14,268.6,260.0,3.2017870439315046
2859,2023-10-14,271.8,266.8,1.839587932303164
2860,2023-10-14,267.2,258.0,3.4431137724550855
2861,2023-10-14,275.3,260.8,5.266981474754813
2862,2023-10-14,273.0,269.2,1.391941391941396
2863,2023-10-14,272.9,265.0,2.8948332722608936
2865,2023-10-14,270.5,261.0,3.512014787430684
2866,2023-10-14,274.6,270.4,1.5294974508375982
2867,2023-10-14,274.6,260.0,5.3168244719592215
2868,2023-10-14,274.3,185.2,32.482683193583675
2869,2023-10-14,274.4,267.0,2.696793002915444
2870,2023-10-14,268.0,256.6,4.253731343283573
2872,2023-10-14,275.7,271.0,1.7047515415306451
2873,2023-10-14,252.3,252.3,0.0
2874,2023-10-14,276.6,237.4,14.17208966015908
2875,2023-10-14,276.4,265.0,4.124457308248906
2876,2023-10-14,273.4,239.8,12.289685442574969
2877,2023-10-14,268.8,263.6,1.934523809523805
2878,2023-10-14,272.6,268.1,1.6507703595011005
2879,2023-10-14,271.4,261.3,3.721444362564468
2880,2023-10-14,273.0,269.1,1.4285714285714202
2881,2023-10-14,272.0,263.2,3.2352941176470633
2882,2023-10-14,270.6,265.7,1.8107908351810915
2883,2023-10-14,270.0,115.0,57.407407407407405
2884,2023-10-14,281.4,244.0,13.290689410092387
2885,2023-10-14,278.4,274.0,1.5804597701149343
2886,2023-10-14,274.8,153.2,44.25036390101893
2887,2023-10-14,275.1,67.0,75.64521992002908
2888,2023-10-14,266.7,261.9,1.799775028121489
2889,2023-10-14,271.0,266.1,1.8081180811808033
2890,2023-10-14,273.4,270.2,1.1704462326261846
2891,2023-10-14,276.3,272.5,1.375316684762943
2892,2023-10-14,273.0,268.2,1.7582417582417624
2893,2023-10-14,268.1,262.8,1.9768743006340956
2894,2023-10-16,277.7,260.8,6.085703997119186
2895,2023-10-16,273.7,267.1,2.4113993423456215
2898,2023-10-16,268.0,261.8,2.3134328358208913
2899,2023-10-16,264.5,258.8,2.155009451795837
2900,2023-10-16,271.8,266.2,2.0603384841795522
2902,2023-10-16,286.0,283.1,1.013986013986006
2906,2023-10-16,274.2,268.0,2.261123267687815
2907,2023-10-16,246.2,240.4,2.3558082859463783
2913,2023-10-16,260.9,254.7,2.3763894212341854
2914,2023-10-16,275.0,267.7,2.6545454545454588
2916,2023-10-16,278.4,271.6,2.442528735632168
2917,2023-10-16,270.8,250.6,7.459379615952738
2921,2023-10-16,278.4,271.7,2.406609195402295
2922,2023-10-16,275.1,268.4,2.435478007997108
2923,2023-10-16,264.6,258.9,2.1541950113378854
2932,2023-10-16,275.9,270.7,1.8847408481333778
2933,2023-10-16,270.1,264.9,1.9252128841170102
2934,2023-10-16,279.1,273.9,1.8631314940881567
2935,2023-10-16,258.5,252.9,2.166344294003866
2940,2023-10-16,271.2,265.9,1.9542772861356976
2942,2023-10-16,270.3,264.7,2.0717721050684506
2944,2023-10-16,272.3,266.6,2.0932794711714977
2947,2023-10-16,285.9,280.4,1.9237495627841903
2951,2023-10-16,251.5,246.5,1.9880715705765408
2952,2023-10-16,271.0,265.4,2.0664206642066505
2956,2023-10-16,280.5,273.9,2.3529411764705963
2957,2023-10-16,278.2,273.2,1.7972681524083396
2958,2023-10-16,276.6,272.5,1.4822848879248092
2960,2023-10-16,270.6,265.5,1.8847006651884781
2963,2023-10-16,275.8,270.8,1.8129079042784626
2964,2023-10-16,272.1,267.2,1.8008085262771163
2971,2023-10-16,280.6,272.2,2.9935851746258137
2975,2023-10-16,284.6,279.0,1.9676739283204576
2977,2023-10-16,257.8,252.1,2.211016291698998
2982,2023-10-16,282.0,276.0,2.127659574468085
2983,2023-10-16,265.8,265.8,0.0
2984,2023-10-16,287.2,287.2,0.0
2986,2023-10-16,279.3,275.1,1.5037593984962365
2990,2023-10-16,279.9,274.4,1.9649874955341196
2991,2023-10-16,276.8,262.5,5.16618497109827
2992,2023-10-16,272.8,267.4,1.9794721407624758
2994,2023-10-16,270.1,265.6,1.6660496112550907
2998,2023-10-16,272.8,267.1,2.089442815249263
2999,2023-10-16,275.4,270.1,1.9244734931009275
3001,2023-10-16,273.8,268.5,1.9357195032870749
3002,2023-10-16,275.2,269.6,2.03488372093022
3006,2023-10-16,276.7,271.8,1.7708709794000643
3007,2023-10-16,289.6,284.5,1.7610497237569138
3009,2023-10-16,268.9,264.1,1.7850502045369858
3010,2023-10-16,276.8,272.0,1.7341040462427786
3013,2023-10-16,281.2,276.1,1.81365576102417
3016,2023-10-16,271.5,266.7,1.7679558011049767
3017,2023-10-16,282.7,276.6,2.1577644145737414
3018,2023-10-16,278.5,271.3,2.585278276481145
3028,2023-10-16,273.1,267.3,2.1237641889417835
3029,2023-10-16,274.2,268.4,2.115244347191835
3031,2023-10-16,277.0,270.2,2.45487364620939
3033,2023-10-16,278.6,272.9,2.0459440057430167
3034,2023-10-16,270.1,265.4,1.7400962606442225
3037,2023-10-16,273.2,268.4,1.7569546120058608
3038,2023-10-16,278.6,271.5,2.548456568557079
3048,2023-10-16,266.8,261.3,2.0614692653673163
3049,2023-10-16,271.8,101.6,62.61957321559971
3054,2023-10-16,274.0,104.9,61.715328467153284
3055,2023-10-16,271.1,265.4,2.102545186278143
3057,2023-10-16,270.2,265.0,1.9245003700962209
3061,2023-10-16,273.1,268.7,1.6111314536799832
3062,2023-10-16,274.1,219.7,19.846771251368125
3063,2023-10-16,283.3,278.0,1.8708083303918148
3066,2023-10-16,267.2,261.9,1.9835329341317407
3069,2023-10-16,280.0,272.6,2.642857142857135
3074,2023-10-16,277.0,271.7,1.9133574007220255
3075,2023-10-16,282.4,275.9,2.301699716713881
3076,2023-10-16,269.2,263.1,2.265973254086169
3077,2023-10-16,283.6,277.6,2.1156558533145273
3079,2023-10-16,264.0,257.9,2.3106060606060694
3082,2023-10-16,274.7,269.0,2.0749908991627186
3083,2023-10-16,272.6,266.2,2.347762289068244
3085,2023-10-16,266.2,259.4,2.554470323065369
3088,2023-10-16,278.5,272.2,2.2621184919210098
3089,2023-10-16,264.6,259.4,1.9652305366591252
3091,2023-10-16,270.9,251.3,7.235142118863037
3092,2023-10-16,281.9,275.9,2.1284143313231643
3095,2023-10-16,276.9,271.1,2.0946189960274304
3096,2023-10-16,267.6,262.6,1.8684603886397606
3097,2023-10-16,271.7,265.1,2.4291497975708376
3098,2023-10-16,268.9,262.0,2.566009669021933
3106,2023-10-16,286.1,260.1,9.087731562390772
3108,2023-10-16,271.4,266.6,1.7686072218128057
3110,2023-10-16,280.5,274.2,2.2459893048128383
